CustomerID,Rev,Quantity,B2B
12346.0,0.0,0,0
12347.0,4309.999999999997,2458,1
12348.0,1437.24,2332,1
12349.0,1457.55,630,1
12350.0,294.40000000000003,196,1
12352.0,1265.41,463,1
12353.0,89.0,20,0
12354.0,1079.4,530,1
12355.0,459.4,240,1
12356.0,2487.430000000001,1573,1
12357.0,6207.669999999996,2708,1
12358.0,928.06,242,1
12359.0,6245.530000000006,1612,1
12360.0,2302.0600000000004,1156,1
12361.0,174.89999999999998,90,1
12362.0,4665.580000000002,2180,1
12363.0,552.0,408,1
12364.0,1208.1000000000001,1499,1
12365.0,320.69,173,1
12367.0,150.9,172,1
12370.0,3425.689999999998,2350,1
12371.0,1527.9600000000003,582,1
12372.0,1196.04,788,1
12373.0,324.6,196,1
12374.0,622.93,339,1
12375.0,375.42000000000013,175,1
12377.0,1548.1199999999997,942,1
12378.0,4008.6200000000013,2529,1
12379.0,775.2899999999996,401,1
12380.0,2423.56,1109,1
12381.0,1433.4600000000005,772,1
12383.0,1617.3099999999995,1515,1
12384.0,406.16,117,1
12386.0,401.90000000000003,354,1
12388.0,2780.6600000000003,1462,1
12390.0,504.84,350,1
12391.0,460.88999999999993,300,1
12393.0,1582.6000000000004,816,1
12394.0,1080.48,808,1
12395.0,2662.2799999999984,2092,1
12397.0,2214.9,1250,1
12398.0,1435.6599999999999,1389,1
12399.0,1033.65,1173,1
12401.0,69.3,10,0
12402.0,195.6,92,1
12403.0,391.7,94,1
12405.0,1390.3900000000006,849,1
12406.0,3280.7500000000014,1809,1
12407.0,1507.12,1403,1
12408.0,2587.57,1382,1
12409.0,11056.930000000004,5543,1
12410.0,521.0799999999999,205,1
12412.0,1142.8799999999999,824,1
12413.0,676.15,281,1
12414.0,442.41,297,1
12415.0,123638.17999999988,77242,1
12417.0,3155.8000000000006,1514,1
12418.0,668.5799999999997,407,1
12420.0,600.3900000000001,345,1
12421.0,639.0400000000002,478,1
12422.0,683.5599999999998,367,1
12423.0,1624.1100000000001,1312,1
12424.0,1760.9599999999998,740,1
12425.0,777.1999999999999,496,1
12426.0,510.7299999999999,254,1
12427.0,582.37,229,1
12428.0,6366.000000000005,3477,1
12429.0,3388.400000000001,1538,1
12430.0,216.4,116,1
12431.0,6311.389999999999,2861,1
12432.0,4359.3200000000015,1800,1
12433.0,13375.869999999992,11071,1
12434.0,765.1899999999999,373,1
12435.0,7829.889999999998,2055,1
12436.0,429.01000000000005,209,1
12437.0,4392.659999999998,2889,1
12438.0,2466.8500000000004,1169,1
12441.0,155.55,120,1
12442.0,144.06,181,1
12444.0,4085.46,1132,1
12445.0,77.4,60,1
12446.0,1002.3099999999998,351,1
12447.0,431.49,187,1
12448.0,365.4500000000001,240,1
12449.0,3596.290000000001,1523,1
12450.0,197.88,128,1
12451.0,8893.519999999999,6454,1
12452.0,348.57000000000005,181,1
12453.0,707.0899999999999,473,1
12454.0,-5.684341886080802e-14,0,0
12455.0,2339.859999999997,2084,1
12456.0,2553.89,1601,1
12457.0,1597.7799999999997,687,1
12458.0,787.4000000000001,502,1
12461.0,626.8800000000001,282,1
12462.0,872.0099999999998,505,1
12463.0,1165.6299999999997,751,1
12464.0,957.0499999999998,95,1
12465.0,673.89,471,1
12468.0,652.04,360,1
12471.0,16358.91999999997,7858,1
12472.0,5725.480000000004,3992,1
12473.0,2555.769999999999,2348,1
12474.0,6486.470000000002,4729,1
12475.0,669.38,532,1
12476.0,5628.580000000007,2286,1
12477.0,13117.009999999993,3620,1
12478.0,545.99,233,1
12479.0,423.3,348,1
12480.0,2885.6300000000006,1685,1
12481.0,5014.860000000003,3258,1
12483.0,1873.1300000000006,1084,1
12484.0,3907.2699999999973,2164,1
12488.0,1244.6600000000003,526,1
12489.0,298.93,103,1
12490.0,4859.930000000001,3033,1
12491.0,424.4000000000001,258,1
12492.0,227.20999999999998,190,1
12493.0,362.79,203,1
12494.0,995.3500000000006,682,1
12497.0,953.1,1231,1
12498.0,349.7,156,1
12500.0,4026.2699999999995,2661,1
12501.0,1945.6799999999992,1714,1
12502.0,2995.870000000001,794,1
12504.0,60.00000000000003,48,0
12506.0,73.50000000000003,23,0
12507.0,1006.0599999999998,885,1
12508.0,398.27000000000004,272,1
12509.0,158.5,54,1
12510.0,814.57,347,1
12512.0,138.03000000000006,99,1
12513.0,532.7900000000001,453,1
12514.0,1017.6800000000002,440,1
12515.0,278.7,128,1
12516.0,1186.06,868,1
